ticker,description,active,market,locale,source_feed
I:.MSDXUTPU,Morningstar Developed Markets ex-US Target Market Exposure PR USD,False,indices,us,CboeGlobalIndicesMSTAR
I:A1BSC,Dow Jones Americas Basic Materials Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1CYC,Dow Jones Americas Consumer Services Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1DOW,Dow Jones Americas Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1ENE,Dow Jones Americas Oil & Gas Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1FIN,Dow Jones Americas Financials Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1HCR,Dow Jones Americas Health Care Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1IDU,Dow Jones Americas Industrials Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1NCY,Dow Jones Americas Consumer Goods Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1SGI,Dow Jones Sustainability North America Composite Index (USD),True,indices,us,CMEMarketDataPlatformDowJones
I:A1TEC,Dow Jones Americas Technology Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1TLS,Dow Jones Americas Telecommunications Index,True,indices,us,CMEMarketDataPlatformDowJones
I:A1UTI,Dow Jones Americas Utilities Index,True,indices,us,CMEMarketDataPlatformDowJones
I:AAVE100,Cboe 100 Aave / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:AAVE10RP,Cboe 10 Aave / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:AAVE25RP,Cboe 25 Aave / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:AAVE400,Cboe 400 Aave / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:AAVE50RP,Cboe 50 Aave / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ABAQ,ABA NASDAQ Community Bank,True,indices,us,NasdaqGIDS
I:ABQI,NASDAQ OMX ABA Community Bank,True,indices,us,NasdaqGIDS
I:ABQX,NASDAQ OMX ABA Community Bank Total Rtn,True,indices,us,NasdaqGIDS
I:ADA100K,Cboe 100K Cardano / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ADA10KRP,Cboe 10K Cardano / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ADA25KRP,Cboe 25K Cardano / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ADA50KRP,Cboe 50K Cardano / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ADA5KRP,Cboe 5000 Cardano / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ADOW,The Asia Dow (USD),True,indices,us,CMEMarketDataPlatformDowJones
I:ADOWA,The Asia Dow (AUD),True,indices,us,CMEMarketDataPlatformDowJones
I:ADOWE,The Asia Dow (EUR),True,indices,us,CMEMarketDataPlatformDowJones
I:ADOWJ,The Asia Dow (JPY),True,indices,us,CMEMarketDataPlatformDowJones
I:AGQIV,PROSHARES ULTRA SILVER ETF,True,indices,us,CboeGlobalIndicesINAV
I:ALGO100,Cboe 100 Algorand / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ALGO1KRP,Cboe 1000 Algorand / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ALGO5KRP,Cboe 5000 Algorand / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:AMBOR1M,AMERIBOR 1 Month Spot Rate,False,indices,us,CboeGlobalIndicesMain
I:AMBOR1W,AMERIBOR 1 Week Spot Rate,False,indices,us,CboeGlobalIndicesMain
I:AMBOR1Y,AMERIBOR 1 Year Spot Rate,False,indices,us,CboeGlobalIndicesMain
I:AMBOR2Y,AMERIBOR 2 Year Spot Rate,False,indices,us,CboeGlobalIndicesMain
I:AMBOR30,30 Day Average AMERIBOR Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBOR30T,AMERIBOR Term-30 Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBOR3M,AMERIBOR 3 Month Spot Rate,False,indices,us,CboeGlobalIndicesMain
I:AMBOR6M,AMERIBOR 6 Month Spot Rate,False,indices,us,CboeGlobalIndicesMain
I:AMBOR90,90 Day Average AMERIBOR Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBOR90T,AMERIBOR Term-90 Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBOS,One Month AMERIBOR Average Settlement,False,indices,us,CboeGlobalIndicesCGI
I:AMBOX,One Month AMERIBOR Average Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBRS,14 Day AMERIBOR Average Settlement,False,indices,us,CboeGlobalIndicesCGI
I:AMBRX,14 Day AMERIBOR Average Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBTS,Three Month AMERIBOR Compound Average Settlement,False,indices,us,CboeGlobalIndicesCGI
I:AMBTX,Three Month AMERIBOR Compound Average Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMBWS,7 Day AMERIBOR Average Settlement,False,indices,us,CboeGlobalIndicesCGI
I:AMBWX,7 Day AMERIBOR Average Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMERIBOR,AMERIBOR Unsecured Overnight Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMT1M,AMERIBOR Term-30 Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMT1R,Ameribor 30 Day Term Settlement Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMT1S,Ameribor 30 Day Term Settlement Value,False,indices,us,CboeGlobalIndicesCGI
I:AMT3M,AMERIBOR Term-90 Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMT3R,Ameribor 90 Day Term Settlement Rate,False,indices,us,CboeGlobalIndicesCGI
I:AMT3S,Ameribor 90 Day Term Settlement Value,False,indices,us,CboeGlobalIndicesCGI
I:ANEWIV,PROSHARES MSCI TRANSFORMATIONAL CHANGES ETF,True,indices,us,CboeGlobalIndicesINAV
I:APRTIV,AllianzIM U.S. Large Cap Buffer10 Apr ETF Intraday Indicative Value,True,indices,us,CboeGlobalIndicesINAV
I:APRWIV,AllianzIM U.S. Large Cap Buffer20 Apr ETF Intraday Indicative Value,True,indices,us,CboeGlobalIndicesINAV
I:APRZIV,TrueShares Structured Outcome (April) ETF Intraday Indicative Value,True,indices,us,CboeGlobalIndicesINAV
I:ASOX,PHLX US AI Semiconductor Index,True,indices,us,NasdaqGIDS
I:ASOXN,PHLX US AI Semiconductor Net To,True,indices,us,NasdaqGIDS
I:ASOXT,PHLX US AI Semiconductor Total,True,indices,us,NasdaqGIDS
I:ATDOW,Dow Jones Austria Index,True,indices,us,CMEMarketDataPlatformDowJones
I:ATDOWD,Dow Jones Austria Index (USD),True,indices,us,CMEMarketDataPlatformDowJones
I:ATOM150,Cboe 150 Cosmos / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ATOM300,Cboe 300 Cosmos / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ATOM600,Cboe 600 Cosmos / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:ATOM75RP,Cboe 75 Cosmos / US Dollar RealPrice Index,True,indices,us,CboeGlobalIndicesCCCY
I:AUAC,Nasdaq All Cap Australian Equit,True,indices,us,NasdaqGIDS
I:AUACGL,Nasdaq All Cap Australian Equity Index GLR,True,indices,us,NasdaqGIDS
I:AUACT,Nasdaq All Cap Australian Equit,True,indices,us,NasdaqGIDS
I:AUDOWD,Dow Jones Australia Index (USD),True,indices,us,CMEMarketDataPlatformDowJones
I:AUGTIV,AllianzIM U.S. Large Cap Buffer10 Aug ETF Intraday Indicative Value,True,indices,us,CboeGlobalIndicesINAV
I:AUGWIV,AllianzIM U.S. Large Cap Buffer20 Aug ETF Intraday Indicative Value,True,indices,us,CboeGlobalIndicesINAV
I:AUGZIV,TrueShares Structured Outcome (August) ETF Intraday Indicative Value,True,indices,us,CboeGlobalIndicesINAV
I:AVCHQYLD,Alpha Vee Quality Yield,True,indices,us,CboeGlobalIndicesCGI
I:AVFOCGRW,Alpha Vee Focused Growth Index,True,indices,us,CboeGlobalIndicesCGI
I:AVGRNTSP,Alpha Vee Green Transportation,True,indices,us,CboeGlobalIndicesCGI
I:AVRMENEQ,Alpha Vee Risk Managed Enhanced US Equity,True,indices,us,CboeGlobalIndicesCGI
