Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
A,Agilent Technologies,Analytical instruments,Medical,MED PRODUCTS,MED PRODS,Y,UNITED STATES
AA,Alcoa,Primary aluminum,Industrial Products,METAL PRD-DISTR,METALS FABRICATING,Y,UNITED STATES
AACAF,AAC TECH HLDGS,,,,,,
AACAY,AAC Technologies,"Communications equipment, not elsewhere classified",Computer and Technology,ELEC-MISC COMPONENTS,ELECTRONICS,N,CHINA
AACG,ATA,Educational services,Consumer Discretionary,SCHOOLS,OTHER CONS DISC,N,CHINA
AAGIY,AIA,Life insurance,Finance,INS-LIFE,INSURANCE,N,HONG KONG
AAGR,African Agriculture Holdings Inc.,Agricultural production - crops,Consumer Staples,AGRI OPERATIONS,FOOD,N,UNITED STATES
AAIIQ,Alabama Aircraft Industries,Aircraft,Aerospace,AEROSP/DEF EQ,AEROSPACE/DEFENSE,N,UNITED STATES
AAL,American Airlines,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,Y,UNITED STATES
AAM,AA Mission Acquisition Corp.,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
AAMCF,"Accelitron Advanced Motor Controls, Inc.",Real estate,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED STATES
AAME,Atlantic American,Life insurance,Finance,INS-ACC & HLTH,INSURANCE,N,UNITED STATES
AAMI,Acadian Asset Management Inc.,Investment advice,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES
AAOI,Applied Optoelectronics,Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,Y,UNITED STATES
AAON,AAON,Refrigeration & heating equipment,Construction,BLDG PRD-AIR/HT,BUILDING PRODS,Y,UNITED STATES
AAP,Advance Auto Parts,Auto & home supply stores,Retail/Wholesale,RET/WHL-AUTO PT,NONFOOD RETAIL/WH,Y,UNITED STATES
AAPG,Ascentage Pharma Group International - Unsponsored ADR,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,CHINA
AAPJ,AAP,Telephone & telegraph apparatus,Computer and Technology,Communications Components,TELECOMM EQUIP,N,
AAPL,Apple,Electronic computers,Computer and Technology,COMP-MICRO,COMPUTER/OFFICE EQUIP,Y,UNITED STATES
AARD,"Aardvark Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
AASP,Agassi Sports Entertainment Corp.,Miscellaneous retail,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
AAT,American Assets Trust,Real estate investment trusts,Finance,REIT-EQTY TRUST - RETAIL,REAL ESTATE,Y,UNITED STATES
