Symbol,Description,Sector,Industry
SPY,S&P 500 Index ETF,Market Analysis,Index
DIA,Dow Jones Index ETF,Market Analysis,Index
QQQ,Nasdaq Index ETF,Market Analysis,Index
^VIX,Volatility Index ETF,Market Analysis,Index
UST,US Treasury ETF,Market Analysis,Index
IWC,Micro Cap ETF,Market Analysis,Market Cap
VB,Small Cap ETF,Market Analysis,Market Cap
VO,Mid Cap ETF,Market Analysis,Market Cap
VV,Large Cap ETF,Market Analysis,Market Cap
XLK,Technology Sector ETF,Market Analysis,Sector
XLU,Utilities Sector ETF,Market Analysis,Sector
XLC,Communication Services Sector ETF,Market Analysis,Sector
XLY,Consumer Discretionary Sector ETF,Market Analysis,Sector
XLP,Consumer Staples Sector ETF,Market Analysis,Sector
XLE,Energy Sector ETF,Market Analysis,Sector
XLF,Financials Sector ETF,Market Analysis,Sector
XLV,Healthcare Sector ETF,Market Analysis,Sector
XLI,Industrials Sector ETF,Market Analysis,Sector
XLB,Materials Sector ETF,Market Analysis,Sector
XLRE,Real Estate Sector ETF,Market Analysis,Sector
ERX,Direxion Daily Energy Bull 2X Shares,Energy,ETF
UTSL,Direxion Daily Utilities Bull 3X Shares,Utilites,ETF
