name,09/30/2025,06/30/2025,03/31/2025,12/31/2024,09/30/2024,06/30/2024,03/31/2024,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,03/31/2007
TotalAssets,"462,532,211","444,241,235","457,343,460","456,927,265","459,449,162","464,656,696","468,545,021","448,939,143","466,256,544","466,338,206","475,229,516","474,464,769","472,329,079","482,359,553","493,814,103","507,175,310","524,050,564","547,116,001","554,813,252","575,621,032","619,678,388","602,881,424","664,363,954","676,089,833","699,431,035","310,056,562","327,431,844","335,138,771","366,486,438","1,295,957,653","610,982,563","568,441,507","456,834,717","453,099,361","519,840,116","574,506,637","479,557,349","470,702,891","470,461,130","523,413,101","470,181,236","457,313,197","455,244,300","477,636,709","491,130,711","503,573,853","491,236,724","539,034,197","454,377,455","486,292,236","457,818,481","478,872,378","442,423,630","456,399,011","460,720,127","462,239,975","400,899,639","448,967,268","435,447,036",,,"435,514,705","428,503,100","476,265,712","460,120,408","471,056,374","471,245,056","466,009,374","477,329,495.991","443,226,968.583","436,718,427.533","169,647,560.313","131,090,287.872","108,165,450"
	CurrentAssets,"126,538,828","70,183,150","73,240,281","66,639,674","60,273,299","63,686,478","78,756,076","70,444,891","75,466,731","67,111,074","73,091,496","65,262,522","66,279,807","67,019,214","69,395,520","75,407,150","80,340,589","98,050,077","104,406,624","120,939,600","132,484,747","141,652,646","186,528,072","183,560,151","155,658,715","180,273,555","197,701,280","213,394,902","234,275,349","1,158,872,744","489,333,342","366,816,403","253,431,706","251,523,929","295,945,492","337,219,746","232,983,592","214,585,437","316,488,151","370,244,913","311,597,097","304,096,677","312,950,666","336,861,132","383,987,029","397,814,308","398,092,847","445,058,865","354,686,164","384,736,779","354,770,096","372,176,048","333,303,563","350,449,862","355,069,384","356,225,933","295,938,906","341,381,566","325,491,044",,,"317,632,376","309,073,697","333,629,063","338,276,794","398,184,685","399,001,929","420,294,547","439,674,686.775","407,779,728.685","403,386,873.065","124,205,798.818","97,785,987.144","76,655,742"
		CashCashEquivalentsAndShortTermInvestments,"96,807,261","34,673,597","39,410,928","36,523,995","39,391,127","40,106,501","57,592,646","60,167,232","65,506,332","56,848,918","65,636,833","54,980,199","59,858,096","60,516,273","62,413,833","71,339,361","75,232,602","91,364,510","95,572,345","112,723,433","111,864,329","119,721,055","152,843,753","154,197,758","105,100,214","131,630,433","168,673,077","190,586,342","228,600,987","300,678,761","173,662,014","256,090,942","166,219,394","154,070,851","222,448,413","247,709,208","119,769,580","119,475,348","247,667,737","283,662,771","215,327,965","220,225,319","240,295,371","277,176,983","253,307,578","337,687,024","311,947,098","378,117,412","284,640,469","266,999,411","290,029,715","294,933,613","250,646,237","267,436,821","257,167,696","253,307,896","203,127,327","284,834,573","268,058,194",,,"219,082,287","213,874,252","255,254,159","233,719,719","301,814,681","310,503,071","340,018,595","348,818,941.956","332,907,948.308","332,261,100.039","44,458,395.456","52,589,934.568","45,019,114"
			CashAndCashEquivalents,"96,807,261","34,673,597","39,410,928","36,523,995","39,391,127","40,106,501","57,592,646","60,167,232","65,506,332","56,848,918","65,636,833","54,980,199","59,858,096","60,516,273","62,413,833","71,339,361","75,232,602","91,364,510","95,572,345","112,723,433","111,864,329","119,721,055","152,843,753","154,197,758","105,100,214","131,630,433","168,673,077","190,586,342","214,311,852","287,201,925","173,662,014","256,090,942","166,219,394","154,070,851","222,448,413","247,709,208","119,769,580","119,475,348","247,667,737","283,662,771","215,327,965","220,225,319","240,295,371","277,176,983","253,307,578","337,687,024","311,947,098","378,117,412","284,640,469","266,999,411","290,029,715","294,933,613","250,646,237","267,436,821","257,167,696","253,307,896","203,127,327","284,834,573","268,058,194",,,"219,082,287","213,874,252","255,254,159","233,719,719","301,814,681","310,503,071","340,018,595","348,818,941.956","332,907,948.308","332,261,100.039","44,458,395.456","52,589,934.568","45,019,114"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220,225,319","18,397,974","277,176,983","253,307,578","337,687,024","33,698,280","378,117,412","284,640,469","266,999,411","12,118,865","294,933,613","250,646,237","267,436,821","26,474,179","253,307,896","203,127,327","284,834,573","268,058,194",,,"219,082,287","213,874,252","255,254,159","233,719,719","301,814,681","310,503,071","340,018,595",,,,,,"45,019,114"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,897,397",,,,"278,248,818",,,,"277,910,850",,,,"230,693,517",,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,289,135","13,476,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"16,337,928","298,377","2,310,382","17,887,213","1,149,062","1,357,395","1,367,395","4,498,956","296,345","612,845","429,845","6,433,201","332,189","405,869","352,000","1,088,584","500,000","711,400","711,400","3,615,553","4,780,565","4,991,743","13,330,709","19,526,699","16,631,111","16,010,926","15,801,001","21,361,120","412,783","13,577","34,533",,"61,896,441","89,687,450","66,161,255","80,542,211","101,892,840","86,908,661","60,552,034","70,097,890","75,370,684","65,282,645","56,026,569","44,454,800","110,495,050","49,942,266","68,782,717","54,932,531","56,457,832","102,463,735","51,114,718","69,218,152","65,903,832","69,583,948","86,779,348","94,318,990","83,519,735","49,313,111","47,051,596",,,"88,837,158","82,900,060","61,212,194","87,407,955","78,927,592","71,076,794","71,246,371","79,331,656.202","64,495,451.212","63,514,727.473","67,202,506.359","29,624,551.808","16,997,421"
			AccountsReceivable,"298,376","298,377","2,310,382","2,712,845","1,149,062","1,357,395","1,367,395","2,235,490","296,345","612,845","429,845","5,852,038","332,189","405,869","352,000","938,189","500,000","711,400","711,400","2,245,194","752,314","804,138","475,691","214,591","879,279","977,747","1,277,303","439,783","412,783","13,577","34,533","100,105,027","61,896,441","89,687,450","56,161,255","70,542,211","91,892,840","76,908,661","50,552,034","70,097,890","75,370,684","65,282,645","48,150,046","44,454,800","110,495,050","49,942,266","68,353,075","54,932,531","56,457,832","102,463,735","51,114,718","69,218,152","65,903,832","69,583,948","81,844,571","94,318,990","83,519,735","49,313,111","47,051,596",,,"88,837,158","82,900,060","61,212,194","87,407,955","78,927,592","71,076,794","71,246,371","79,331,656.202","64,495,451.212","63,514,727.473","67,202,506.359","29,624,551.808","16,977,651"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,560,981",,,,"55,427,300",,,,"53,153,164",,,,"73,041,508",,,,"86,119,787",,,,"111,944,576",,,,,,,,,,,,,,,,,,,
